"","License.Issue.Date","License.Number","Animal.s.Name","Species","Primary.Breed","Secondary.Breed","ZIP.Code","Year","Avg.AGI","SES"
"222",2022-01-24,"S157366","Ollie Boo Boo","Cat","Domestic Shorthair","Mix","98105",2022,108.5212338,"High"
"223",2022-01-24,"8035825","Michael Kitt","Cat","American Shorthair","Mix","98115",2022,100.7467087,"High"
"224",2022-01-25,"S157872","Minion","Cat","Domestic Shorthair","Mix","98102",2022,94.8156801,"Medium"
"225",2022-01-25,"28314","Suri","Cat","Domestic Shorthair","","98107",2022,77.42486188,"Medium"
"226",2022-01-25,"28315","Moo Moo","Cat","Domestic Shorthair","","98107",2022,77.42486188,"Medium"
"227",2022-01-25,"19197","Rosie","Cat","Domestic Shorthair","","98107",2022,77.42486188,"Medium"
"228",2022-01-25,"S157371","Carlos","Cat","Domestic Longhair","Mix","98109",2022,108.8438562,"High"
"229",2022-01-25,"8015292","Bingo","Cat","Domestic Medium Hair","","98112",2022,202.574526,"High"
"230",2022-01-26,"74401","Ella","Cat","Domestic Longhair","","98118",2022,56.95778073,"Medium"
"231",2022-01-26,"8035872","S'more","Cat","Norwegian Forest","Domestic Medium Hair","98144",2022,76.60438247,"Medium"
"232",2022-01-26,"S157610","Beanie","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"233",2022-01-26,"8035876","Margot","Cat","Domestic Medium Hair","Mix","98104",2022,98.65607903,"Medium"
"234",2022-01-26,"S158157","Pebbles","Cat","Domestic Shorthair","Mix","98103",2022,85.42767318,"Medium"
"235",2022-01-26,"8035877","Daphne","Cat","Domestic Shorthair","Mix","98177",2022,120.1930867,"High"
"236",2022-01-26,"S153311","Dallas","Cat","Domestic Shorthair","Mix","98112",2022,202.574526,"High"
"237",2022-01-26,"8015189","Nyx","Cat","Domestic Longhair","Mix","98168",2022,42.13534938,"Low"
"238",2022-01-27,"8014972","Jo Jo","Cat","Abyssinian","","98109",2022,108.8438562,"High"
"239",2022-01-27,"28583","Lady Mari","Cat","Abyssinian","","98109",2022,108.8438562,"High"
"240",2022-01-27,"S158161","Whisp","Cat","Domestic Shorthair","Mix","98125",2022,64.3982,"Medium"
"241",2022-01-27,"8035904","Pascale","Cat","Domestic Shorthair","Mix","98118",2022,56.95778073,"Medium"
"242",2022-01-27,"8035905","Piton","Cat","Domestic Shorthair","Mix","98118",2022,56.95778073,"Medium"
"243",2022-01-27,"S110408","Fred","Cat","Bombay","","98144",2022,76.60438247,"Medium"
"244",2022-01-28,"8035914","Cinnamon","Cat","Domestic Shorthair","Mix","98122",2022,77.25699641,"Medium"
"245",2022-01-28,"S110184","Carmen","Cat","Domestic Shorthair","","98133",2022,55.06720631,"Medium"
"246",2022-01-28,"S158169","Kenny","Cat","Domestic Longhair","Mix","98103",2022,85.42767318,"Medium"
"247",2022-01-28,"83507","Wasabi","Cat","Domestic Shorthair","","98103",2022,85.42767318,"Medium"
"248",2022-01-28,"8035927","Tuna","Cat","Maine Coon","Domestic Medium Hair","98122",2022,77.25699641,"Medium"
